,Algorithm,Test Size,Round,Accuracy,Testing Time,Training Time,Precision,Recall,F1score,Confusion Matrix,True Positive Rate,False Positive Rate,AUC
0,xGBoost,0.3,1,0.9995435553526912,0.02900099754333496,19.074817180633545,0.9363636363636364,0.762962962962963,0.8408163265306122,[85301     0     7     0    32     0   103     0],[0.         0.00740741 0.44444444 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.99976556 0.999789   1.        ],0.9775313504529991
1,adaBoost,0.3,1,0.9992860737567735,0.6829910278320312,65.49629545211792,0.8490566037735849,0.6666666666666666,0.7468879668049793,[85292     0    16     0    45     0    90     0],[0.         0.00740741 0.03703704 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.99994139 0.99996483 1.        ],0.9722384162659401
2,catBoost,0.3,1,0.9992860737567735,0.006998777389526367,0.37129878997802734,0.8490566037735849,0.6666666666666666,0.7468879668049793,[85292     0    16     0    45     0    90     0],"[0.         0.51111111 0.57777778 0.66666667 0.71111111 0.74074074
 0.79259259 0.79259259 0.81481481 0.81481481 0.81481481 0.98518519
 0.98518519 1.         1.         1.        ]","[0.00000000e+00 1.05500070e-04 1.17222300e-04 1.87555681e-04
 5.97833732e-04 6.44722652e-04 2.08655695e-03 2.18033479e-03
 3.79800253e-03 6.07211516e-03 6.27139307e-03 9.96459887e-01
 9.99882778e-01 9.99894500e-01 9.99917944e-01 1.00000000e+00]",0.8995479560772381
3,lightGBM,0.3,1,0.9415165665999555,0.04800295829772949,0.7472898960113525,0.00020559210526315788,0.007407407407407408,0.00040008001600320064,[80445     0  4863     0   134     0     1     0],[0.         0.00740741 1.        ],[0.        0.0570052 1.       ],0.4752011013686354
4,randomForest,0.3,1,0.9995084442259752,0.7729902267456055,206.33762454986572,0.8974358974358975,0.7777777777777778,0.8333333333333333,[85296     0    12     0    30     0   105     0],"[0.         0.01481481 0.08888889 0.21481481 0.26666667 0.3037037
 0.36296296 0.38518519 0.44444444 0.47407407 0.51851852 0.54814815
 0.57777778 0.59259259 0.60740741 0.63703704 0.64444444 0.65185185
 0.66666667 0.67407407 0.67407407 0.68148148 0.68148148 0.7037037
 0.71851852 0.71851852 0.71851852 0.73333333 0.74814815 0.75555556
 0.77037037 0.77777778 0.78518519 0.78518519 0.79259259 0.79259259
 0.79259259 0.79259259 0.79259259 0.8        0.8        0.80740741
 0.80740741 0.80740741 0.80740741 0.80740741 0.80740741 0.81481481
 0.81481481 0.82222222 0.82222222 0.82222222 0.82962963 0.82962963
 0.82962963 0.83703704 0.84444444 0.87407407 1.        ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.17222300e-05 1.17222300e-05 1.17222300e-05 1.17222300e-05
 1.17222300e-05 1.17222300e-05 1.17222300e-05 1.17222300e-05
 1.17222300e-05 1.17222300e-05 2.34444601e-05 2.34444601e-05
 3.51666901e-05 3.51666901e-05 3.51666901e-05 3.51666901e-05
 7.03333802e-05 7.03333802e-05 8.20556103e-05 9.37778403e-05
 9.37778403e-05 1.05500070e-04 1.28944530e-04 1.28944530e-04
 1.28944530e-04 1.28944530e-04 1.28944530e-04 1.40666760e-04
 1.40666760e-04 1.52388990e-04 1.52388990e-04 1.87555681e-04
 2.11000141e-04 2.46166831e-04 2.69611291e-04 2.69611291e-04
 2.93055751e-04 3.16500211e-04 3.51666901e-04 3.75111361e-04
 4.68889201e-04 4.92333662e-04 5.04055892e-04 5.15778122e-04
 5.39222582e-04 5.97833732e-04 6.56444882e-04 7.03333802e-04
 8.55722793e-04 1.09016739e-03 1.50044544e-03 2.48511277e-03
 5.40394805e-03 2.31631266e-02 1.00000000e+00]",0.9350733464274984
5,xGBoost,0.3,2,0.9995435553526912,0.03799724578857422,19.838854551315308,0.9363636363636364,0.762962962962963,0.8408163265306122,[85301     0     7     0    32     0   103     0],[0.         0.00740741 0.44444444 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.99976556 0.999789   1.        ],0.9775313504529991
6,adaBoost,0.3,2,0.9992860737567735,0.6782028675079346,65.56433987617493,0.8490566037735849,0.6666666666666666,0.7468879668049793,[85292     0    16     0    45     0    90     0],[0.         0.00740741 0.03703704 ... 1.         1.         1.        ],[0.         0.         0.         ... 0.99994139 0.99996483 1.        ],0.9722384162659401
7,catBoost,0.3,2,0.9992860737567735,0.007997989654541016,0.16590499877929688,0.8490566037735849,0.6666666666666666,0.7468879668049793,[85292     0    16     0    45     0    90     0],"[0.         0.51111111 0.57777778 0.66666667 0.71111111 0.74074074
 0.79259259 0.79259259 0.81481481 0.81481481 0.81481481 0.98518519
 0.98518519 1.         1.         1.        ]","[0.00000000e+00 1.05500070e-04 1.17222300e-04 1.87555681e-04
 5.97833732e-04 6.44722652e-04 2.08655695e-03 2.18033479e-03
 3.79800253e-03 6.07211516e-03 6.27139307e-03 9.96459887e-01
 9.99882778e-01 9.99894500e-01 9.99917944e-01 1.00000000e+00]",0.8995479560772381
8,lightGBM,0.3,2,0.9415165665999555,0.04651021957397461,0.6677525043487549,0.00020559210526315788,0.007407407407407408,0.00040008001600320064,[80445     0  4863     0   134     0     1     0],[0.         0.00740741 1.        ],[0.        0.0570052 1.       ],0.4752011013686354
9,randomForest,0.3,2,0.9995084442259752,0.7579283714294434,198.04342579841614,0.8974358974358975,0.7777777777777778,0.8333333333333333,[85296     0    12     0    30     0   105     0],"[0.         0.06666667 0.13333333 0.15555556 0.22962963 0.32592593
 0.35555556 0.39259259 0.41481481 0.45925926 0.47407407 0.53333333
 0.54814815 0.57037037 0.57777778 0.58518519 0.60740741 0.60740741
 0.62222222 0.64444444 0.65185185 0.65185185 0.67407407 0.68888889
 0.6962963  0.7037037  0.71111111 0.72592593 0.72592593 0.73333333
 0.74074074 0.75555556 0.76296296 0.77037037 0.78518519 0.78518519
 0.79259259 0.79259259 0.8        0.8        0.8        0.8
 0.8        0.8        0.80740741 0.80740741 0.80740741 0.81481481
 0.81481481 0.81481481 0.81481481 0.81481481 0.81481481 0.81481481
 0.82222222 0.82222222 0.83703704 0.87407407 1.        ]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.17222300e-05 1.17222300e-05
 1.17222300e-05 1.17222300e-05 1.17222300e-05 1.17222300e-05
 1.17222300e-05 1.17222300e-05 2.34444601e-05 2.34444601e-05
 2.34444601e-05 3.51666901e-05 3.51666901e-05 3.51666901e-05
 3.51666901e-05 5.86111502e-05 5.86111502e-05 5.86111502e-05
 5.86111502e-05 7.03333802e-05 9.37778403e-05 9.37778403e-05
 1.17222300e-04 1.17222300e-04 1.28944530e-04 1.28944530e-04
 1.28944530e-04 1.40666760e-04 1.40666760e-04 1.64111221e-04
 1.64111221e-04 2.34444601e-04 2.34444601e-04 2.69611291e-04
 2.93055751e-04 3.16500211e-04 3.63389131e-04 3.86833591e-04
 3.98555821e-04 4.22000281e-04 4.57166971e-04 4.80611432e-04
 5.04055892e-04 6.21278192e-04 7.26778262e-04 7.85389412e-04
 9.14333943e-04 1.10188962e-03 1.54733436e-03 2.61405730e-03
 5.84939279e-03 2.29286820e-02 1.00000000e+00]",0.9349607261878092
